make,model,version,price,fuel,year,kms,power,doors,shift,color,photos,is_professional,province,make_number,model_number,model_numberdos,make_model_ref,combustible_int,provincia_numero,cambio_int,prof_int,color_limpio,color_numero,km_0,km_0_int
BMW,Serie 4,BMW Serie 4 420i Gran Coupe 5p.,25400,Gasolina,2016.0,85885,184.0,5,Automático,416 Carbonschwarz (metalizado),33,True,Barcelona,50,731,14,5014,1,7,1,1,416 Carbonschwarz,102,False,0
VOLKSWAGEN,Tiguan,VOLKSWAGEN Tiguan Advance 1.5 TSI 96kW 130CV 5p.,26985,Gasolina,2019.0,17000,130.0,5,Manual,Blanco,26,True,Las Palmas,38,649,29,3829,1,25,0,1,Blanco,282,False,0
MAZDA,MX-30,MAZDA MX30 eSKYACTIVE 105kW Evolution Vintage 5p.,31000,Eléctrico,2020.0,890,146.0,5,Automático,Gris / Plata,13,True,Zamora,36,733,15,3615,6,48,1,1,Gris / Plata,412,True,1
MERCEDES-BENZ,Clase A,MERCEDES-BENZ Clase A A 200 d 5p.,21900,Diésel,2017.0,63000,136.0,5,Automático,Blanco,11,True,Castellón,56,660,26,5626,0,10,1,1,Blanco,282,False,0
PORSCHE,Cayenne,PORSCHE Cayenne S 5p.,89500,Gasolina,2017.0,35800,440.0,5,Automático,2T Negro Jet (metalizado),21,True,Madrid,67,797,5,6705,1,29,1,1,2T Negro Jet,79,False,0
CITROEN,Spacetourer,CITROEN Spacetourer eSpaceTourer Talla M 50 KWh Feel 5p.,36500,Eléctrico,2020.0,1,136.0,5,Automático,Marrón,20,True,Barcelona,20,703,39,2039,6,7,1,1,Marrón,505,True,1
MERCEDES-BENZ,Clase C,MERCEDES-BENZ Clase C C 220 d AMG Line Estate 5p.,24500,Diésel,2015.0,73000,170.0,5,Automático,Gris / Plata,15,False,Cáceres,56,645,24,5624,0,14,1,0,Gris / Plata,412,False,0
HYUNDAI,TUCSON,HYUNDAI TUCSON 1.6 CRDI 100kW 136CV 48V Tecno DCT 2C 5p.,35790,Diésel,2020.0,10,136.0,5,Manual,Rojo,23,True,Madrid,35,607,26,3526,0,29,0,1,Rojo,612,True,1
MERCEDES-BENZ,Clase A,MERCEDES-BENZ Clase A Sedan A 250 e 4p.,37400,Híbrido enchufable,2020.0,4000,218.0,4,Automático,Blanco (POLAR),30,True,Madrid,56,660,26,5626,5,29,1,1,Blanco,282,True,1
CITROEN,Berlingo,CITROEN Berlingo Talla M BlueHDi 100 SS SHINE 5p.,22200,Diésel,2020.0,2,102.0,5,Manual,Beige (Arena),20,True,Asturias,20,415,29,2029,0,4,0,1,Beige,278,True,1
MERCEDES-BENZ,Clase S,MERCEDES-BENZ Clase S S 400 HYBRID 4p.,44990,Híbrido,2014.0,68000,333.0,4,Automático,Negro,41,True,Valencia,56,749,31,5631,4,45,1,1,Negro,526,False,0
OPEL,Grandland X,OPEL Grandland X 1.2 Turbo Opel 2020 5p.,24900,Gasolina,2020.0,0,130.0,5,Manual,Blanco,15,True,Vizcaya,23,651,32,2332,1,47,0,1,Blanco,282,True,1
PORSCHE,Panamera,PORSCHE Panamera 4S Diesel 5p.,77990,Diésel,2017.0,134000,422.0,5,Automático,Gris / Plata,50,True,Pontevedra,67,836,8,6708,0,36,1,1,Gris / Plata,412,False,0
PEUGEOT,3008,PEUGEOT 3008 2.0BLUEHDI 133KW 180CV GT AUTO SS 5p.,22990,Diésel,2017.0,99000,180.0,5,Automático,Blanco,25,True,Madrid,29,613,38,2938,0,29,1,1,Blanco,282,False,0
TOYOTA,Corolla,TOYOTA Corolla 2.0 180H FEEL ECVT TOURING SPORT 5p.,27990,Híbrido,2020.0,3000,180.0,5,Automático,Azul (Océano),38,True,Orense,33,531,18,3318,4,34,1,1,Azul,234,True,1
PEUGEOT,e-208,PEUGEOT e208 Electrico GT 5p.,33400,Eléctrico,2020.0,10,136.0,5,Automático,Azul,30,True,Madrid,29,705,40,2940,6,29,1,1,Azul,234,True,1
